ts,symbol,exchange,kind,ltp,bid,ask,spread,volume,oi,open,high,low,prev_close
2026-08-05T15:32:47.422,SENSEX27AUG26FUT,BFO,future,78878.25,78828.55,78880.0,51.45,23920,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:47.978,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:48.522,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:49.088,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:49.634,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24651.0,5.9,2905305,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:50.170,SENSEX27AUG26FUT,BFO,future,78878.25,78827.45,78879.8,52.35,23920,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:50.722,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:51.282,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:51.843,INDIAVIX,NSE_INDEX,spot,12.0,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:52.372,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24651.0,5.9,2905305,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:52.926,SENSEX27AUG26FUT,BFO,future,78878.25,78822.25,78879.15,56.9,23920,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:53.473,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:54.020,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:54.572,INDIAVIX,NSE_INDEX,spot,11.95,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:55.127,NIFTY25AUG26FUT,NFO,future,24645.1,24645.0,24650.8,5.8,2905370,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:55.674,SENSEX27AUG26FUT,BFO,future,78878.25,78822.5,78878.35,55.85,23920,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:56.221,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:56.773,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:57.323,INDIAVIX,NSE_INDEX,spot,11.95,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:57.874,NIFTY25AUG26FUT,NFO,future,24645.1,24646.0,24650.6,4.6,2905370,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:58.426,SENSEX27AUG26FUT,BFO,future,78878.25,78823.0,78879.7,56.7,23920,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:58.971,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:59.529,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:00.072,INDIAVIX,NSE_INDEX,spot,11.94,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:33:00.639,NIFTY25AUG26FUT,NFO,future,24650.6,24646.0,24651.0,5.0,2905435,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:33:01.175,SENSEX27AUG26FUT,BFO,future,78878.25,78829.0,78880.0,51.0,23920,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:33:01.721,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:33:02.271,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:02.819,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:33:03.370,NIFTY25AUG26FUT,NFO,future,24654.0,24646.0,24654.0,8.0,2906215,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:33:03.927,SENSEX27AUG26FUT,BFO,future,78830.05,78830.25,78880.0,49.75,23960,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:33:04.477,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:33:05.022,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:05.570,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
